Date,cases,deaths,Recovered
3/8/2020,3,0,0
3/9/2020,3,0,0
3/10/2020,3,0,0
3/11/2020,3,0,0
3/12/2020,3,0,0
3/13/2020,3,0,0
3/14/2020,3,0,0
3/15/2020,5,0,0
3/16/2020,8,0,0
3/17/2020,10,0,0
3/18/2020,14,1,3
3/19/2020,17,1,3
3/20/2020,20,1,3
3/21/2020,25,1,3
3/22/2020,27,2,3
3/23/2020,33,2,3
3/24/2020,39,3,5
3/25/2020,39,5,7
3/26/2020,44,5,11
3/27/2020,48,5,11
3/28/2020,48,5,15
3/29/2020,48,5,15
3/30/2020,49,5,19
3/31/2020,51,5,25
4/1/2020,54,6,26
4/2/2020,56,6,26
4/3/2020,61,6,26
4/4/2020,70,8,30
4/5/2020,88,9,30
4/6/2020,123,12,33
4/7/2020,164,17,33
4/8/2020,218,20,33
4/9/2020,333,21,33
4/10/2020,424,27,33
4/11/2020,482,30,36
4/12/2020,621,34,39
4/13/2020,803,39,42
4/14/2020,1012,46,42
4/15/2020,1231,50,49
4/16/2020,1572,60,49
4/17/2020,1838,75,58
4/18/2020,2144,84,66
4/19/2020,2456,91,75
4/20/2020,2948,101,85
4/21/2020,3382,110,87
4/22/2020,3772,120,92
4/23/2020,4186,127,108
4/24/2020,4689,131,112
4/25/2020,4998,140,113
4/26/2020,5416,145,122
